gene_id	s001_Line1_0g_repeat	s002_Line1_0g_repeat	s003_Line1_0g_repeat	s004_Line1_1g_repeat	s005_Line1_1g_repeat	s006_Line1_1g_repeat	s007_Line1_ground_repeat	s008_Line1_ground_repeat	s009_Line1_ground_repeat
ENSG00000128585	903	1441	2121	1132	1765	1812	2562	1881	2401
ENSG00000128590	1946	3063	4621	2441	3907	3113	6421	6471	8175
ENSG00000128591	3793	7132	9587	10023	10148	10116	5459	3921	6468
ENSG00000128594	51	76	90	94	157	118	75	67	139
ENSG00000128595	11828	16699	25328	14194	24899	19340	22425	18611	26056
ENSG00000128596	32	187	130	76	213	56	109	119	84
ENSG00000128602	155	254	352	362	419	403	316	372	580
ENSG00000128604	0	0	0	5	1	0	0	0	0
ENSG00000128606	0	3	11	4	0	15	6	0	9
ENSG00000128607	147	280	376	229	276	234	228	196	292
ENSG00000128609	2612	4097	4456	2118	4430	3445	4830	4902	5281
ENSG00000128610	0	0	0	1	0	5	0	0	0
ENSG00000128617	12	11	30	9	16	23	14	17	40
ENSG00000128626	2203	2958	4025	2026	4779	3736	3155	2846	4886
ENSG00000128641	1902	2446	4633	3032	3832	3798	3362	2223	3506
ENSG00000128645	0	0	0	0	0	0	0	0	0
ENSG00000128652	0	0	1	0	0	0	0	0	0
ENSG00000128654	1413	2238	2972	1571	3119	2543	2832	2441	3762
ENSG00000128655	0	13	21	2	12	3	15	6	7
ENSG00000128656	319	422	673	254	602	509	1497	882	1396
ENSG00000128683	38	82	42	65	87	66	90	65	42
ENSG00000128692	3	10	12	8	19	12	15	3	11
ENSG00000128694	275	421	468	381	383	336	406	501	700
ENSG00000128699	1677	2674	3427	2345	3292	2432	2609	1908	2832
ENSG00000128708	1644	2441	3203	1914	3400	2895	2217	2091	2928
ENSG00000128709	0	0	0	1	0	0	0	3	0
ENSG00000128710	0	0	0	0	1	0	0	0	5
ENSG00000128713	0	0	0	0	0	0	0	1	0
ENSG00000128714	0	0	1	1	0	0	0	0	0
ENSG00000128731	427	715	1035	481	1264	630	715	683	1197
ENSG00000128739	1162	1616	2050	1107	1697	1999	1635	1747	1917
ENSG00000128789	651	1004	1143	920	1506	1312	987	948	1255
ENSG00000128791	771	1064	1874	1206	1458	1230	1440	1474	1643
ENSG00000128805	74	149	77	37	192	153	321	223	399
ENSG00000128815	0	0	0	0	0	1	0	0	0
ENSG00000128829	758	1478	1539	1240	1520	1368	1440	1291	2089
ENSG00000128833	58	69	47	19	80	85	49	114	157
ENSG00000128849	2006	3247	5286	1978	4469	3324	4084	3172	4602
ENSG00000128872	50	160	150	51	110	98	101	108	263
ENSG00000128881	252	443	462	341	632	344	380	241	377
ENSG00000128886	8	6	8	7	17	3	0	7	4
ENSG00000128891	103	180	279	236	272	218	245	230	344
ENSG00000128908	170	400	307	246	297	299	135	260	291
ENSG00000128915	637	930	1672	1056	1334	1337	1186	819	1439
ENSG00000128917	10	39	42	34	2	6	0	3	43
ENSG00000128918	4	0	2	1	0	15	0	0	0
ENSG00000128923	897	1656	1836	1036	1757	1287	2017	1802	2046
ENSG00000128928	1194	2279	2419	1368	2465	2049	3599	2596	3981
ENSG00000128944	280	403	528	444	750	668	548	480	1004
ENSG00000128951	776	1137	1426	719	1581	1128	1139	995	1530
ENSG00000128965	424	462	590	673	1326	674	176	164	495
ENSG00000128973	60	53	91	36	88	77	40	28	37
ENSG00000128989	3076	5049	7517	3836	5510	4746	5713	4493	6456
ENSG00000129003	237	599	618	258	705	380	643	643	606
ENSG00000129007	0	0	0	0	1	0	0	1	0
ENSG00000129009	0	13	13	0	1	14	45	66	46
ENSG00000129028	192	209	352	151	366	278	362	168	293
ENSG00000129038	707	1090	1206	683	1622	1202	1347	1209	1778
ENSG00000129048	0	0	0	1	0	0	2	0	0
ENSG00000129055	2455	3819	5313	2913	5016	5023	4090	3406	4889
ENSG00000129071	419	648	875	745	1027	852	991	954	1374
ENSG00000129083	3319	5265	8061	5080	7455	6931	6813	4988	8996
ENSG00000129084	1000	1596	2108	1110	1390	1539	1039	996	836
ENSG00000129103	2229	3269	3906	2443	4518	3420	2101	1479	3222
ENSG00000129116	4203	7305	8959	3210	9158	5651	6475	5302	8448
ENSG00000129128	900	1447	2025	1399	1896	1674	2340	1928	2284
ENSG00000129151	4	0	1	1	0	0	0	0	0
ENSG00000129152	0	0	2	0	0	2	0	0	0
ENSG00000129158	115	160	213	127	393	276	443	279	553
ENSG00000129159	0	0	2	3	0	2	0	1	1
ENSG00000129167	0	0	6	2	0	0	0	0	0
ENSG00000129170	7526	12012	17921	6113	25121	10929	8596	8045	10489
ENSG00000129173	299	445	441	285	767	452	675	503	772
ENSG00000129187	1238	1559	2789	1981	2532	2405	1682	1703	2215
ENSG00000129194	42	31	62	47	51	78	49	35	19
ENSG00000129195	49	68	109	66	167	76	382	200	464
ENSG00000129197	612	880	1184	742	1427	1126	766	728	1150
ENSG00000129204	3	16	27	2	14	16	38	5	16
ENSG00000129214	41	120	105	55	161	93	187	191	284
ENSG00000129219	132	128	199	293	194	449	94	121	240
ENSG00000129221	0	0	0	0	1	3	0	0	0
ENSG00000129226	0	0	0	0	0	0	0	0	0
ENSG00000129235	1583	2549	3263	2055	3587	2727	2151	2241	2513
ENSG00000129244	534	749	923	517	1129	966	1473	1752	2317
ENSG00000129245	1668	2003	2945	1639	2770	2753	2525	2529	2794
ENSG00000129250	1443	1960	3538	1103	3499	2251	2334	2076	2991
ENSG00000129255	1553	2058	2916	1364	3223	2711	2215	1739	2711
ENSG00000129292	873	1569	1774	1256	2031	2003	1783	1572	2810
ENSG00000129295	30	33	66	40	40	0	30	33	37
ENSG00000129315	133	136	361	311	299	198	258	261	296
ENSG00000129317	211	351	460	251	358	496	285	294	518
ENSG00000129347	203	289	435	346	519	501	335	170	678
ENSG00000129351	1534	2642	2862	1884	4413	2581	2185	1799	3586
ENSG00000129353	5940	9254	13423	7063	12408	12441	5198	3187	5044
ENSG00000129354	60	97	122	113	181	393	167	118	296
ENSG00000129355	76	127	169	188	205	190	113	67	160
ENSG00000129422	92	153	187	37	211	85	378	468	624
ENSG00000129437	0	0	2	0	1	3	0	3	1
ENSG00000129450	0	0	0	0	13	0	0	0	0
ENSG00000129451	0	0	4	0	0	0	0	0	0
ENSG00000129455	0	0	0	0	0	0	0	0	1
ENSG00000129460	701	1087	1279	1071	1661	1607	924	888	1102
ENSG00000129465	0	0	5	1	0	0	0	0	0
ENSG00000129467	0	0	19	16	2	16	0	0	0
ENSG00000129472	212	524	404	341	358	485	371	400	436
ENSG00000129473	64	83	100	50	64	76	48	99	61
ENSG00000129474	886	1601	2236	985	1915	1466	1358	956	1883
ENSG00000129480	154	270	548	139	361	284	209	148	382
ENSG00000129484	759	1181	1569	1061	1522	1592	1577	1120	1630
ENSG00000129493	236	422	669	268	449	584	780	325	965
ENSG00000129514	18	16	58	62	157	90	186	104	473
ENSG00000129515	1962	3218	3812	2334	3439	3398	2587	2466	3691
ENSG00000129518	795	1430	1741	1330	1842	2012	1239	1239	1475
ENSG00000129521	459	548	1106	292	1186	740	509	404	860
ENSG00000129534	138	250	315	222	561	277	357	183	380
ENSG00000129535	44	52	41	10	86	22	54	42	65
ENSG00000129538	24	15	53	16	64	51	292	236	378
ENSG00000129559	2822	3842	5095	2824	3742	4006	2783	3158	2779
ENSG00000129562	2993	3966	5681	4065	6935	7214	4743	4969	6187
ENSG00000129566	69	66	61	76	156	129	218	22	82
ENSG00000129595	231	424	561	212	513	425	466	334	625
ENSG00000129596	186	277	394	158	331	439	314	319	607
ENSG00000129625	3993	6646	8865	5056	7072	6180	6979	5138	8113
ENSG00000129636	2511	3808	5838	3069	5344	4382	5306	4166	6604
ENSG00000129646	22	26	63	11	36	0	51	79	26
ENSG00000129654	3	0	8	8	0	0	14	8	6
ENSG00000129657	417	546	861	436	757	441	1041	808	1374
ENSG00000129667	56	45	242	74	147	155	113	183	307
ENSG00000129673	4	17	2	3	8	0	7	0	17
ENSG00000129675	94	91	99	133	138	225	41	161	126
ENSG00000129680	246	415	486	372	489	294	461	397	678
ENSG00000129682	318	387	660	233	732	535	953	911	1359
ENSG00000129691	1712	2684	3451	1947	3745	3031	3807	2830	4186
ENSG00000129696	449	606	1000	407	955	783	903	663	1193
ENSG00000129744	0	0	7	1	5	0	0	5	0
ENSG00000129749	1	14	23	10	18	1	0	4	19
ENSG00000129757	248	349	436	338	462	566	758	505	1186
ENSG00000129810	96	124	158	81	109	160	186	95	176
ENSG00000129816	0	0	0	0	0	0	0	0	0
ENSG00000129824	0	0	0	0	0	0	0	0	0
ENSG00000129845	0	0	0	0	0	0	0	0	0
ENSG00000129862	0	0	0	0	0	0	0	0	0
ENSG00000129864	0	0	0	0	0	0	0	0	0
ENSG00000129873	0	0	0	0	0	0	0	0	0
ENSG00000129910	2	7	1	10	19	1	11	17	2
ENSG00000129911	45	61	71	29	65	50	30	48	24
ENSG00000129925	1768	2449	3700	1832	4936	2925	6341	4117	7782
ENSG00000129932	586	1061	1023	414	1407	782	764	626	867
ENSG00000129933	638	1032	1843	1043	1773	1093	1592	1127	1575
ENSG00000129946	313	640	615	416	896	539	499	552	752
ENSG00000129951	64	89	179	99	212	175	198	146	261
ENSG00000129965	0	0	0	0	0	0	0	0	0
ENSG00000129968	450	692	932	719	1313	1169	1044	932	1641
ENSG00000129988	0	0	0	1	0	0	0	0	0
ENSG00000129990	0	0	3	3	0	1	0	0	0
ENSG00000129991	79	152	139	52	172	118	566	566	561
ENSG00000129993	4	2	42	12	26	22	56	55	31
ENSG00000130005	2922	4409	5108	2182	6136	4184	5676	5551	6703
ENSG00000130021	1452	2205	3473	1620	2960	2465	3884	2259	3967
ENSG00000130023	281	400	697	309	686	589	290	279	510
ENSG00000130024	517	834	1231	510	898	766	932	897	1003
ENSG00000130032	13	32	67	52	7	73	112	89	71
ENSG00000130035	31	77	65	57	30	97	129	67	104
ENSG00000130037	1	13	48	0	26	13	41	3	77
ENSG00000130038	0	10	13	3	0	1	30	20	66
ENSG00000130045	9	2	1	6	0	5	9	19	0
ENSG00000130052	0	0	11	19	0	1	0	0	0
ENSG00000130054	14	18	4	35	50	21	17	3	17
ENSG00000130055	0	4	5	10	6	1	24	0	29
ENSG00000130066	1097	1576	2390	3205	2083	4258	2265	1679	2702
ENSG00000130119	197	231	359	165	324	262	327	313	390
ENSG00000130147	2115	3467	4480	2349	4713	3818	5110	3540	7062
ENSG00000130150	235	211	346	342	379	432	254	187	353
ENSG00000130158	58	134	194	98	249	91	68	36	133
ENSG00000130159	807	1129	1545	724	1936	1341	1753	1336	2349
ENSG00000130164	570	1034	1665	398	1215	606	3766	2520	4109
ENSG00000130165	1518	1975	2973	2124	3123	3053	1537	1551	2165
ENSG00000130167	0	0	2	1	0	0	0	0	0
ENSG00000130173	5	3	0	0	0	4	0	0	0
ENSG00000130175	1588	2194	2899	1536	3658	2822	2479	2172	3508
ENSG00000130176	4307	5803	7026	2281	8104	5121	7193	4761	7080
ENSG00000130177	1060	1437	1894	1012	1772	1578	1490	1368	2171
ENSG00000130182	1	0	0	7	2	2	0	1	0
ENSG00000130193	506	665	821	366	964	676	630	601	979
ENSG00000130201	0	0	0	0	0	0	0	0	0
ENSG00000130202	4870	6679	9301	5072	11461	9190	8175	6438	10605
ENSG00000130203	20489	30466	38724	15574	53315	37377	44269	35810	75906
ENSG00000130204	2996	4544	6395	2790	8281	5896	5088	4660	6921
ENSG00000130208	143	183	205	139	416	513	437	409	834
ENSG00000130222	407	482	679	321	1189	561	366	420	658
ENSG00000130224	64	90	117	112	65	64	211	73	81
ENSG00000130226	0	0	2	9	0	2	29	5	18
ENSG00000130227	1232	2109	3210	1298	2394	1550	2435	1813	2748
ENSG00000130234	328	426	745	164	352	249	652	367	564
ENSG00000130244	137	271	275	185	365	284	224	186	210
ENSG00000130254	558	896	1120	714	1553	1097	829	945	1371
ENSG00000130255	2884	4384	4960	3610	6517	6240	2350	2886	2738
ENSG00000130270	0	14	9	7	8	62	23	5	37
ENSG00000130283	0	0	0	0	0	0	0	0	0
ENSG00000130287	0	0	2	2	0	5	0	1	0
ENSG00000130294	343	748	754	683	1058	1302	272	277	416
ENSG00000130299	264	425	660	342	805	601	515	415	776
ENSG00000130300	8	3	14	38	41	36	26	18	30
ENSG00000130303	77	148	235	137	181	306	472	401	579
ENSG00000130304	47	131	126	220	237	210	278	274	437
ENSG00000130305	664	952	1600	1029	2447	1554	1197	863	1573
ENSG00000130307	5	3	3	13	2	16	0	0	0
ENSG00000130309	1335	1409	2409	1206	2640	1450	1948	1462	3377
ENSG00000130311	945	1464	1529	971	2134	1400	1008	1188	1104
ENSG00000130312	2227	3411	4565	2220	5442	3802	3105	3664	4506
ENSG00000130313	628	981	1025	739	1582	1478	1112	1032	1923
ENSG00000130332	756	1013	1124	1017	1644	1526	843	1008	967
ENSG00000130338	506	717	1431	619	1156	825	1091	980	1249
ENSG00000130340	694	1185	1644	1061	1401	1659	1592	1407	2549
ENSG00000130347	390	488	708	326	828	698	570	552	1095
ENSG00000130348	711	1143	1726	943	1907	1150	1153	1477	2261
ENSG00000130349	523	997	1165	627	1334	1158	886	866	1188
ENSG00000130363	179	242	426	309	275	445	307	440	604
ENSG00000130368	0	0	0	5	0	1	0	0	0
ENSG00000130377	0	1	7	1	0	1	0	2	2
ENSG00000130382	161	192	264	103	417	422	151	249	410
ENSG00000130383	0	0	3	0	0	0	1	0	10
ENSG00000130385	1	0	0	0	0	0	0	0	0
ENSG00000130396	616	1122	1045	651	1347	966	1207	1278	1365
ENSG00000130402	567	938	1593	593	1578	615	1080	698	1285
ENSG00000130413	126	269	361	104	376	143	302	246	405
ENSG00000130414	3201	5064	6387	3260	6779	5593	5979	5408	8688
ENSG00000130427	0	0	8	0	0	0	0	18	17
ENSG00000130429	638	950	1345	1253	1987	2100	1166	998	1753
ENSG00000130433	66	85	124	17	136	87	333	229	290
ENSG00000130449	83	104	146	174	168	232	207	137	96
ENSG00000130475	2	15	9	3	29	0	21	10	44
ENSG00000130477	6	0	18	12	2	3	0	0	0
ENSG00000130479	668	1152	1677	1113	2391	1806	1770	1002	1450
ENSG00000130487	0	1	0	0	0	0	0	0	0
ENSG00000130489	409	624	827	416	864	719	466	500	551
ENSG00000130508	1624	2632	3573	1814	4300	2823	6804	4328	8242
ENSG00000130511	551	567	956	575	1249	1123	863	811	939
ENSG00000130513	3400	5117	6250	4389	8575	7133	4316	2453	4602
ENSG00000130517	231	380	550	326	593	332	270	294	438
ENSG00000130518	3	19	12	7	5	56	0	0	15
ENSG00000130520	3603	5349	6886	4154	10620	7829	6031	5308	8341
ENSG00000130522	1710	2374	3147	2720	4092	4539	1502	1531	1802
ENSG00000130528	1751	3009	3549	1429	3889	2604	5301	4600	5976
ENSG00000130529	992	1446	2052	1157	2305	1419	1580	762	1180
ENSG00000130538	0	0	0	0	0	0	0	0	0
ENSG00000130540	4	15	21	19	3	21	57	25	48
ENSG00000130544	170	155	315	151	218	237	213	151	305
ENSG00000130545	33	87	75	31	130	186	93	105	213
ENSG00000130558	42	37	81	62	171	41	97	49	109
ENSG00000130559	233	516	550	280	577	237	557	345	793
ENSG00000130560	866	1466	1941	1156	2349	1408	1579	1497	2488
ENSG00000130561	0	0	4	4	0	17	1	0	0
ENSG00000130584	238	409	458	268	546	365	493	335	654
ENSG00000130589	13	11	37	70	11	48	6	5	0
ENSG00000130590	318	340	612	136	802	317	400	275	330
ENSG00000130592	3	0	8	6	0	0	6	9	15
ENSG00000130595	4	6	1	0	0	18	14	6	21
ENSG00000130598	5	0	12	1	14	0	20	11	24
ENSG00000130600	69	112	164	114	211	217	290	214	437
ENSG00000130612	0	0	0	5	2	6	0	0	0
ENSG00000130635	233	358	471	289	549	420	856	393	859
ENSG00000130638	2774	4469	5351	3399	6305	5561	5484	4773	8834
ENSG00000130640	594	823	1137	590	1616	1221	1840	1414	2120
ENSG00000130643	0	7	7	5	0	2	13	24	11
ENSG00000130649	0	0	3	2	14	0	0	0	0
ENSG00000130653	10	19	9	22	13	1	2	0	1
ENSG00000130656	0	0	0	0	3	0	0	0	1
ENSG00000130669	642	911	849	419	1030	648	810	893	1147
ENSG00000130675	0	0	1	0	12	5	2	11	15
ENSG00000130684	26	52	54	40	59	60	39	43	54
ENSG00000130695	443	590	1015	575	916	950	1418	881	1248
ENSG00000130699	63	55	89	34	88	51	79	44	137
ENSG00000130700	939	1462	1664	1130	2142	1928	2168	1480	3162
ENSG00000130701	0	0	1	1	1	13	2	0	0
ENSG00000130702	812	1473	1454	669	1585	972	828	599	1434
ENSG00000130703	584	1199	1338	573	1455	1247	1186	1104	2113
ENSG00000130706	1909	2652	3267	2157	4467	3877	2380	1928	3191
ENSG00000130707	166	218	300	120	216	342	558	586	1093
ENSG00000130711	4	0	6	4	7	0	0	14	0
ENSG00000130713	490	701	845	529	1032	979	719	722	911
ENSG00000130714	788	1184	1881	1137	1799	1087	1315	1058	1746
ENSG00000130717	864	1107	1580	1184	2272	1787	1315	1158	1938
ENSG00000130720	9	0	3	23	0	3	9	13	25
ENSG00000130723	738	1259	1992	882	2247	1691	2002	1346	2076
ENSG00000130724	1940	3049	3846	2397	4953	4209	3727	3406	5368
ENSG00000130725	1539	2347	2831	1364	3366	2650	1923	2327	1747
ENSG00000130726	2738	4470	6076	3612	6641	4807	5260	4386	7409
ENSG00000130731	616	811	989	558	1425	1115	738	764	806
ENSG00000130733	470	718	872	486	1174	915	941	675	1372
ENSG00000130734	1180	1737	2648	1380	3122	2093	2218	1717	3070
ENSG00000130741	1185	1611	2609	1031	2763	2239	1322	1342	2000
ENSG00000130748	496	737	1063	730	1577	1418	761	759	922
ENSG00000130749	70	104	168	95	148	75	129	91	129
ENSG00000130751	68	138	185	94	119	165	109	142	101
ENSG00000130755	15	8	6	6	26	21	14	19	2
ENSG00000130758	16	25	38	17	36	25	30	32	33
ENSG00000130762	312	544	692	307	1109	436	613	484	854
ENSG00000130764	1604	2391	3325	1515	3939	3053	2895	2486	4069
ENSG00000130766	1599	2364	2703	1721	4445	3062	1429	1702	2392
ENSG00000130768	62	63	92	32	69	66	107	123	243
ENSG00000130770	4629	6811	8477	5181	9786	7992	7874	8455	8581
ENSG00000130772	267	641	853	246	697	428	478	374	885
ENSG00000130775	21	4	49	33	70	27	5	28	69
ENSG00000130779	778	1549	1749	1113	2101	1441	1589	1211	1852
ENSG00000130783	2	0	8	18	8	2	0	0	11
ENSG00000130787	147	320	352	192	618	292	272	363	378
ENSG00000130803	487	842	776	716	997	1173	939	786	1395
ENSG00000130810	76	65	94	52	86	76	76	77	49
ENSG00000130811	1545	2429	3258	2012	4170	3134	2436	1930	3768
ENSG00000130812	0	0	0	0	0	10	17	19	16
ENSG00000130813	0	11	0	4	0	2	7	0	9
ENSG00000130816	782	1183	1352	659	1695	1299	1158	1061	2043
ENSG00000130818	390	622	900	488	813	654	718	516	730
ENSG00000130821	488	682	915	679	1168	910	521	426	699
ENSG00000130822	11	8	20	9	24	48	12	5	17
ENSG00000130826	553	815	1177	847	1412	945	1348	697	1566
ENSG00000130827	216	365	499	300	454	212	364	274	420
ENSG00000130829	28	43	26	60	79	82	282	148	530
ENSG00000130830	452	853	893	415	1065	605	904	648	1334
ENSG00000130844	172	325	305	286	336	226	330	361	378
ENSG00000130856	65	176	189	114	225	143	197	124	281
ENSG00000130876	0	0	0	0	0	9	0	0	0
ENSG00000130881	514	650	923	457	1479	1082	789	579	1200
ENSG00000130921	396	544	583	420	785	721	647	622	956
ENSG00000130935	1161	2216	2689	1650	2508	2267	2261	1925	2540
ENSG00000130939	717	1025	1634	726	1578	1113	1623	1284	1742
ENSG00000130940	417	740	808	213	1060	438	392	395	798
ENSG00000130943	0	0	0	1	2	1	2	5	16
ENSG00000130948	1	0	7	1	9	5	5	0	0
ENSG00000130950	0	1	5	3	1	0	1	5	1
ENSG00000130956	666	976	1312	1086	1510	1306	1311	1124	2075
ENSG00000130957	1	3	4	0	2	3	1	6	6
ENSG00000130958	407	638	835	816	1095	1186	1057	743	1124
ENSG00000130962	195	278	425	322	278	244	234	245	298
ENSG00000130985	5609	9880	12418	4896	12443	9196	11089	9097	14022
ENSG00000130988	126	163	187	99	308	192	209	243	415
ENSG00000130997	21	42	38	18	66	47	9	19	53
ENSG00000131002	0	0	0	0	0	0	0	0	0
ENSG00000131007	0	0	0	0	0	0	0	0	0
ENSG00000131013	935	1534	1720	1385	1660	1712	1432	1244	1709
ENSG00000131015	3	0	0	36	2	30	0	0	0
ENSG00000131016	1352	1980	2883	1334	3388	1902	3708	2783	4247
ENSG00000131018	442	777	1174	557	1174	637	884	422	705
ENSG00000131019	23	64	72	54	142	50	40	25	69
ENSG00000131023	170	375	625	374	326	547	460	257	489
ENSG00000131037	12	30	13	6	36	87	78	17	45
ENSG00000131042	0	0	0	1	0	0	0	0	0
ENSG00000131043	1417	2214	2871	2197	3461	3192	2878	1787	2980
ENSG00000131044	2	3	7	10	0	1	0	5	7
ENSG00000131050	0	0	0	1	0	0	0	0	0
ENSG00000131051	2205	3908	5419	3596	6722	3660	3525	3173	4874
ENSG00000131055	0	0	2	0	0	0	0	5	0
ENSG00000131059	0	0	0	1	0	0	0	0	0
ENSG00000131061	50	116	84	79	62	131	186	151	271
ENSG00000131067	405	717	846	498	1071	592	802	618	1117
ENSG00000131068	0	0	0	0	0	0	0	0	0
ENSG00000131069	663	985	1835	618	1748	1193	1559	1242	2894
ENSG00000131080	619	820	1528	685	1310	848	1769	1256	2249
ENSG00000131089	316	558	702	395	674	371	882	634	940
ENSG00000131094	53	53	88	39	92	81	327	337	393
ENSG00000131095	33	29	83	14	33	22	34	46	49
ENSG00000131096	2	0	0	2	4	0	0	0	0
ENSG00000131097	1	0	1	0	0	0	0	0	2
ENSG00000131100	2849	4300	5965	3892	7256	6516	4133	3729	5966
ENSG00000131115	91	131	275	181	227	77	187	141	334
ENSG00000131116	525	734	630	243	507	392	258	539	260
ENSG00000131126	0	0	0	1	0	1	0	0	0
ENSG00000131127	46	200	319	164	166	211	240	83	159
ENSG00000131142	0	10	0	0	0	0	0	0	0
ENSG00000131143	9850	15004	18004	9354	22590	17355	15659	16039	23994
ENSG00000131148	1472	2165	2852	1790	3344	2829	2037	1823	2582
ENSG00000131149	413	813	852	550	897	718	642	738	1224
ENSG00000131152	0	0	0	0	0	0	0	0	0
ENSG00000131153	409	575	811	258	978	501	586	405	633
ENSG00000131165	1440	1876	2823	1704	3420	3201	2323	1758	2916
ENSG00000131171	2468	3534	4883	2054	4577	3746	3317	3307	4041
ENSG00000131174	6886	11649	13963	7383	14992	10889	8220	9395	8806
ENSG00000131183	0	0	0	0	0	1	0	0	0
ENSG00000131187	4	26	13	0	26	6	19	37	26
ENSG00000131188	103	161	146	103	211	262	67	96	195
ENSG00000131196	224	281	411	277	275	497	436	321	373
ENSG00000131203	0	0	1	0	0	3	0	0	0
ENSG00000131233	0	0	0	0	0	0	0	0	1
ENSG00000131236	5172	6732	10039	6819	11419	9465	7007	6192	8595
ENSG00000131238	1859	2618	3876	2529	4640	4034	3345	2917	3848
ENSG00000131242	82	145	164	131	106	173	420	151	567
ENSG00000131263	452	773	1273	509	921	777	641	622	633
ENSG00000131264	0	0	0	0	5	0	0	0	0
ENSG00000131269	398	765	919	433	849	1028	1143	743	926
ENSG00000131323	107	166	240	264	366	463	229	208	177
ENSG00000131351	115	273	285	173	373	300	360	236	404
ENSG00000131355	0	0	1	3	0	0	0	0	0
ENSG00000131368	1148	1816	2074	908	2440	1638	1860	2259	2907
ENSG00000131370	100	119	231	112	251	165	200	178	295
ENSG00000131373	216	367	560	358	381	723	581	344	1014
ENSG00000131374	479	558	818	744	934	779	1041	1022	1760
ENSG00000131375	720	1101	1610	1010	1767	1283	1864	1500	2383
ENSG00000131378	1000	1658	2141	1391	2669	2020	893	692	939
ENSG00000131379	0	11	0	0	12	1	7	1	4
ENSG00000131381	593	787	1062	760	1130	1062	1082	719	1224
ENSG00000131386	0	0	4	2	0	0	2	0	17
ENSG00000131389	120	114	324	549	154	343	261	236	181
ENSG00000131398	11	36	17	18	24	20	16	12	26
ENSG00000131400	0	5	1	10	5	9	0	0	12
ENSG00000131401	0	8	5	2	0	7	2	0	4
ENSG00000131408	828	1302	1707	1111	1954	1958	1799	1381	2441
ENSG00000131409	7	0	2	16	4	1	4	14	7
ENSG00000131435	114	152	257	787	345	792	284	371	553
ENSG00000131437	239	437	531	496	710	738	461	385	414
ENSG00000131446	861	1199	1821	1352	2435	2313	1983	1482	2543
ENSG00000131459	738	1206	1422	774	2076	1310	1994	1718	2999
ENSG00000131462	2579	3967	5047	2984	5055	5302	4651	3992	6069
ENSG00000131467	3165	5197	6212	3064	7241	5308	4316	3668	6553
ENSG00000131469	3720	5807	7033	5334	8739	7883	3143	4066	3738
ENSG00000131470	80	128	141	78	132	77	73	58	87
ENSG00000131471	31	41	18	23	58	19	50	37	1
ENSG00000131473	1739	3247	4335	2668	3511	3172	4024	2425	4511
ENSG00000131475	2167	3261	4475	2924	4646	4972	2710	2798	4051
ENSG00000131477	88	129	169	95	156	125	145	173	115
ENSG00000131480	24	44	28	97	43	34	32	41	25
ENSG00000131482	0	0	0	3	0	1	0	0	0
ENSG00000131484	0	0	0	0	0	0	0	0	1
ENSG00000131495	1415	2127	2041	1594	2977	1959	1091	1389	1916
ENSG00000131503	31	33	36	22	50	36	26	25	22
ENSG00000131504	524	934	1430	947	1360	1433	1257	937	1571
ENSG00000131507	2010	2804	3373	2308	3494	3694	3421	3025	3880
ENSG00000131508	2172	3324	4236	2154	4246	3596	2838	2878	3464
ENSG00000131538	0	0	0	0	0	0	0	0	0
ENSG00000131548	0	0	0	0	0	0	0	0	0
ENSG00000131558	614	1202	1429	685	1350	1260	1311	951	1705
ENSG00000131584	527	910	916	531	1448	615	751	715	992
ENSG00000131591	233	271	407	220	512	236	321	212	363
ENSG00000131620	5	0	1	2	0	2	17	12	79
ENSG00000131626	416	629	944	863	1127	944	998	848	1317
ENSG00000131634	0	0	2	1	0	0	0	0	10
ENSG00000131650	23	30	16	34	42	82	59	36	84
ENSG00000131652	492	613	808	809	1194	1117	1147	937	1514
ENSG00000131653	395	671	809	332	824	692	585	527	1128
ENSG00000131668	5	10	44	19	27	0	0	16	31
ENSG00000131669	885	1392	1813	1002	1959	2437	1495	1144	2143
ENSG00000131686	0	0	1	0	0	1	0	0	0
ENSG00000131697	88	89	65	90	104	30	318	136	297
ENSG00000131711	3526	5770	8336	3842	9129	6980	7894	6215	9076
ENSG00000131721	0	0	0	0	0	0	0	0	0
ENSG00000131724	805	1249	1979	1163	1730	1741	1367	1046	1893
ENSG00000131725	222	556	453	400	476	345	711	354	656
ENSG00000131730	320	477	748	223	675	438	648	690	823
ENSG00000131732	215	269	386	271	367	532	312	276	506
ENSG00000131737	0	0	0	0	0	0	0	0	0
ENSG00000131738	0	0	0	0	0	0	0	0	0
ENSG00000131746	1	16	5	0	0	3	5	0	0
ENSG00000131747	674	973	1064	716	1021	1262	2337	1823	3712
ENSG00000131748	811	1480	1551	1033	1995	1669	1449	1317	1746
ENSG00000131759	132	228	179	157	226	206	141	170	192
ENSG00000131771	6	9	9	0	2	11	24	23	22
ENSG00000131773	202	289	396	240	430	446	387	329	480
ENSG00000131778	387	506	668	271	843	787	974	592	1352
ENSG00000131779	450	806	1112	685	1183	1143	933	782	1103
ENSG00000131781	34	33	44	22	32	51	94	37	121
ENSG00000131788	502	820	1469	572	962	973	912	676	1059
ENSG00000131791	1132	2059	2772	1302	2254	1745	1950	1532	2190
ENSG00000131797	59	99	145	58	202	72	120	31	92
ENSG00000131808	0	0	0	1	0	0	0	0	0
ENSG00000131828	6962	10575	13302	5556	15103	9687	15094	12251	19623
