ENSEMBL,ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000205358,4496,MT1H,metallothionein 1H,8.80214996698017,1.29779552872444,5.75239146730833,5.25894508193564e-05,0.00194860194026832,-1.00670446321731
ENSG00000125148,4502,MT2A,metallothionein 2A,7.7623114132604,5.75494787715238,10.4044418730639,6.42837718900748e-08,4.3190659238644e-05,7.15207963859365
ENSG00000169715,4493,MT1E,metallothionein 1E,5.92477706193597,4.2309204488817,9.95276481911425,1.10944575211048e-07,4.70584753147089e-05,6.30075288136928
ENSG00000187193,4501,MT1X,metallothionein 1X,5.73881314658862,4.27900247864027,8.56727421032421,6.71389004383598e-07,0.000132033982649297,5.2996927268431
ENSG00000163053,151473,SLC16A14,solute carrier family 16 member 14,3.49317396074793,2.27876159845291,6.31879862282991,2.00940937038913e-05,0.00104151494773606,2.53154792785079
ENSG00000120937,4879,NPPB,natriuretic peptide B,2.90788249706022,7.89386324211934,9.39996344737037,2.22189997137551e-07,6.18762359735243e-05,7.36410722207568
ENSG00000140961,29948,OSGIN1,oxidative stress induced growth inhibitor 1,2.71564070967016,3.69885780083373,6.22107982162127,2.3646943762392e-05,0.00114506597047619,2.92700391946205
ENSG00000222041,112597,CYTOR,cytoskeleton regulator RNA,2.57776426791119,2.26798673773957,5.22460451814155,0.000134136143092035,0.00348862146348237,1.10172757135006
ENSG00000139269,83729,INHBE,inhibin subunit beta E,2.39640710072448,1.94309600105795,4.47607264240116,0.000538714252806094,0.0087833845566211,-0.053992514627069
ENSG00000102317,5935,RBM3,RNA binding motif protein 3,2.3949497760145,5.4896795376464,9.98508326497933,1.06628393447186e-07,4.70584753147089e-05,8.17647445331874
ENSG00000251562,378938,MALAT1,metastasis associated lung adenocarcinoma transcript 1,2.31470029237181,10.9153169391376,7.7217574564012,2.23617004004781e-06,0.000313549929528443,4.7646327348206
ENSG00000184524,51286,CEND1,cell cycle exit and neuronal differentiation 1,2.30139774159357,5.39359293316583,7.98764706264012,1.51770227321334e-06,0.000239930874074168,5.58076491924154
ENSG00000240038,280,AMY2B,amylase alpha 2B,2.23095949837566,1.22335746150741,4.54522333456021,0.000472444718463195,0.00804453124099157,-0.0474427905629504
