ENSEMBL,ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000265107,2702,GJA5,gap junction protein alpha 5,-3.51934974628726,2.73854547550707,-12.7603276384843,4.91692394198263e-09,9.91067482055873e-06,10.273483533093
ENSG00000169436,169044,COL22A1,collagen type XXII alpha 1 chain,-3.07200845702067,3.23220769544663,-10.7305522179189,4.38502715318583e-08,3.72699862690015e-05,8.50162332898869
ENSG00000137868,64220,STRA6,signaling receptor and transporter of retinol STRA6,-3.04196936786608,3.56435441748954,-10.5391497145521,5.4825565697662e-08,4.00177726880168e-05,8.54894584432016
ENSG00000183044,18,ABAT,4-aminobutyrate aminotransferase,-3.01694265488952,2.9243119300429,-9.42085891578239,2.16313010575107e-07,6.18762359735243e-05,6.9532352989392
ENSG00000262655,10418,SPON1,spondin 1,-3.00628308428109,2.89397449737423,-10.2294413901637,7.92420084614881e-08,4.70584753147089e-05,7.92362910116679
ENSG00000120057,6425,SFRP5,secreted frizzled related protein 5,-2.89381164148491,3.19033252644102,-11.127759235417,2.78612953516979e-08,3.20902419675807e-05,8.88201699472801
ENSG00000197580,83875,BCO2,beta-carotene oxygenase 2,-2.61928213953349,4.08531580391772,-12.5602256865075,6.01887465428439e-09,1.07838170889262e-05,10.6947565309815
ENSG00000178597,768239,PSAPL1,prosaposin like 1,-2.57594300164063,3.29687347706477,-8.89586006663355,4.30109091619197e-07,9.86109323395929e-05,6.60791824692493
ENSG00000006283,8913,CACNA1G,calcium voltage-gated channel subunit alpha1 G,-2.53919447085018,2.52307563382228,-9.24349670762551,2.71968810818952e-07,7.18933946632067e-05,6.75119904983675
ENSG00000100031,2678,GGT1,gamma-glutamyltransferase 1,-2.44308002315149,4.21189925950205,-9.84808785851111,1.26246973919179e-07,4.84698203439704e-05,7.94749079079312
ENSG00000168542,1281,COL3A1,collagen type III alpha 1 chain,-2.29810119830406,7.85114077173513,-10.753201586381,4.27153794548362e-08,3.72699862690015e-05,9.01452829834455
ENSG00000106991,2022,ENG,endoglin,-2.26758483671051,4.05109664382538,-9.52705512830594,1.88891944220294e-07,5.94928520022096e-05,7.60527841864579
ENSG00000204262,1290,COL5A2,collagen type V alpha 2 chain,-2.21258620542652,5.73225939744733,-12.1714742289587,8.98629489028597e-09,1.35717102277839e-05,10.6234240775104
ENSG00000115255,92840,REEP6,receptor accessory protein 6,-2.19882747444743,6.54878126043489,-13.9489012214532,1.56030678885874e-09,5.88784659402074e-06,12.3473057806519
ENSG00000068976,5837,PYGM,"glycogen phosphorylase, muscle associated",-2.176965704982,7.04760020144184,-17.5080329853328,7.9057605709307e-11,1.27480389206258e-06,15.2611007913896
ENSG00000196154,6275,S100A4,S100 calcium binding protein A4,-2.16063902377114,4.32544374809806,-10.2431013998385,7.79506884596877e-08,4.70584753147089e-05,8.42149623857065
ENSG00000196569,3908,LAMA2,laminin subunit alpha 2,-2.05207699975542,4.02883906495493,-9.57379350268382,1.78016752248517e-07,5.74104026001467e-05,7.64647721359729
ENSG00000121743,2700,GJA3,gap junction protein alpha 3,-1.95225230827038,4.53729174251469,-10.0104694727638,1.03363300303206e-07,4.70584753147089e-05,8.19441973357609
ENSG00000117643,57134,MAN1C1,mannosidase alpha class 1C member 1,-1.91738472427557,5.01071062466272,-9.42209726183268,2.15969939917315e-07,6.18762359735243e-05,7.49979963749949
ENSG00000124440,64344,HIF3A,hypoxia inducible factor 3 subunit alpha,-1.91553041330376,4.84991344495566,-10.1139068920115,9.11184836611608e-08,4.70584753147089e-05,8.33628052186208
ENSG00000054654,23224,SYNE2,spectrin repeat containing nuclear envelope protein 2,-1.87970010495266,5.10206368273977,-10.0602958235456,9.7259868966113e-08,4.70584753147089e-05,8.27865132464694
ENSG00000135547,23493,HEY2,hes related family bHLH transcription factor with YRPW motif 2,-1.86316084343363,4.51640587755323,-10.6431894786794,4.85376565363741e-08,3.72699862690015e-05,8.90996589610861
ENSG00000145335,6622,SNCA,synuclein alpha,-1.86073820660873,4.19311369018907,-9.94876245274635,1.1149188685024e-07,4.70584753147089e-05,8.06585050691394
ENSG00000146197,222663,SCUBE3,"signal peptide, CUB domain and EGF like domain containing 3",-1.83748089386603,6.25423120435134,-9.39865856642904,2.22562585207095e-07,6.18762359735243e-05,7.41743259764363
