ENSEMBL,ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000196542,165679,SPTSSB,serine palmitoyltransferase small subunit B,-6.54153162202924,-1.43950479934691,-4.18551433284531,0.000940343477053864,0.0126148407383474,-2.10176494107013
ENSG00000091513,7018,TF,transferrin,-6.43953587286639,0.713857261160785,-3.38516379496123,0.00451358696069016,0.034817948255405,-2.1766414442575
ENSG00000112562,64094,SMOC2,SPARC related modular calcium binding 2,-6.20408422030851,-0.991403893383434,-3.56822648269944,0.00314369874170648,0.0273337331090432,-2.57601299742094
ENSG00000138207,5950,RBP4,retinol binding protein 4,-6.19613859216922,-1.33804987852562,-2.67563442203794,0.0182582626329469,0.0853870315998458,-3.35770003146845
ENSG00000260802,401613,SERTM2,serine rich and transmembrane domain containing 2,-6.17290735185033,-1.12296693063943,-3.53047707428856,0.0033868772998803,0.0285852878474875,-2.62286118467051
ENSG00000167755,5653,KLK6,kallikrein related peptidase 6,-6.01773296373376,-2.27160578389022,-3.40365124695058,0.00435154424674004,0.0339635290313084,-2.75715342931131
ENSG00000198829,56670,SUCNR1,succinate receptor 1,-5.91362226892474,-2.66075239170273,-3.50452405817956,0.00356498724616343,0.0296622390837902,-2.67733806941046
ENSG00000180440,400120,SERTM1,serine rich and transmembrane domain containing 1,-5.89253492907713,-2.36280717255852,-4.5394301332253,0.000477659033771287,0.00809910822246268,-1.84060130782871
ENSG00000197465,2996,GYPE,glycophorin E (MNS blood group),-5.80430418240564,0.381804769134903,-6.79229422565648,9.30089984101187e-06,0.000704117417541391,1.4830376454448
ENSG00000224940,401399,PRRT4,proline rich transmembrane protein 4,-5.64131493624287,-0.557240070881499,-3.8284091138394,0.00188439460546446,0.0197903725050121,-2.27439429347874
ENSG00000103460,27324,TOX3,TOX high mobility group box family member 3,-5.57891599946848,-3.03384668968455,-4.40571940739078,0.000616013699452602,0.00958969939218271,-1.99789510689123
ENSG00000018236,1272,CNTN1,contactin 1,-5.42280043861064,-1.79377268286689,-4.69922278798489,0.000353381927606882,0.00660346631618491,-1.42954336426982
ENSG00000163909,26508,HEYL,hes related family bHLH transcription factor with YRPW motif like,-5.3701813518855,-0.71024078490759,-4.23536365703876,0.000854123417038386,0.0118730518101241,-1.94938486749207
