ENSEMBL,ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000125148,4502,MT2A,metallothionein 2A,7.7623114132604,5.75494787715238,10.4044418730639,6.42837718900748e-08,4.3190659238644e-05,7.15207963859365
ENSG00000169715,4493,MT1E,metallothionein 1E,5.92477706193597,4.2309204488817,9.95276481911425,1.10944575211048e-07,4.70584753147089e-05,6.30075288136928
ENSG00000187193,4501,MT1X,metallothionein 1X,5.73881314658862,4.27900247864027,8.56727421032421,6.71389004383598e-07,0.000132033982649297,5.2996927268431
ENSG00000120937,4879,NPPB,natriuretic peptide B,2.90788249706022,7.89386324211934,9.39996344737037,2.22189997137551e-07,6.18762359735243e-05,7.36410722207568
ENSG00000102317,5935,RBM3,RNA binding motif protein 3,2.3949497760145,5.4896795376464,9.98508326497933,1.06628393447186e-07,4.70584753147089e-05,8.17647445331874
ENSG00000251562,378938,MALAT1,metastasis associated lung adenocarcinoma transcript 1,2.31470029237181,10.9153169391376,7.7217574564012,2.23617004004781e-06,0.000313549929528443,4.7646327348206
ENSG00000184524,51286,CEND1,cell cycle exit and neuronal differentiation 1,2.30139774159357,5.39359293316583,7.98764706264012,1.51770227321334e-06,0.000239930874074168,5.58076491924154
ENSG00000151012,23657,SLC7A11,solute carrier family 7 member 11,2.14283679689413,4.23914400682878,7.21359295442497,4.80722878793002e-06,0.000461644300162546,4.47951963643628
ENSG00000166317,79933,SYNPO2L,synaptopodin 2 like,2.12854866506583,6.69345607520239,7.02499869876973,6.44081334121133e-06,0.000535351108902231,4.00051634733285
ENSG00000149599,128853,DUSP15,dual specificity phosphatase 15,2.02563388305517,3.4595836173396,6.60246474479765,1.26197520926617e-05,0.000824477037236903,3.50364407105386
ENSG00000142686,127703,C1orf216,chromosome 1 open reading frame 216,1.95081843831232,3.7073540184777,7.19264723640665,4.96483410982809e-06,0.000468175146321508,4.42769906571114
ENSG00000148677,27063,ANKRD1,ankyrin repeat domain 1,1.92968713587141,7.9210840101302,9.92080494351936,1.15395963741087e-07,4.70584753147089e-05,8.01608811237207
ENSG00000149591,6876,TAGLN,transgelin,1.80966350463495,8.24175250470219,7.59765719867312,2.68760218059866e-06,0.000334742925377831,4.73361894816533
ENSG00000128283,11135,CDC42EP1,CDC42 effector protein 1,1.76484124582876,4.63115999842632,7.23148040482612,4.6768140525386e-06,0.000459839186568201,4.50740689969576
ENSG00000101255,57761,TRIB3,tribbles pseudokinase 3,1.74028612108078,5.75243936332686,7.08352799187351,5.87888619383872e-06,0.000503335457200749,4.21701313643592
ENSG00000234741,60674,GAS5,growth arrest specific 5,1.64507833583796,5.57738020204867,8.45815467792674,7.8048040949348e-07,0.000146340076780028,6.23680275001634
ENSG00000100889,5106,PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial",1.61218724638403,6.49953496263143,6.81377335245693,8.98799893936705e-06,0.000695303615578758,3.6540202825234
ENSG00000233016,84973,SNHG7,small nucleolar RNA host gene 7,1.60980470067152,4.00326463956595,7.30357404118946,4.18785260165191e-06,0.000430121803832083,4.59791599642619
ENSG00000171858,6227,RPS21,ribosomal protein S21,1.49398230921708,6.088318125055,8.46139790717032,7.76980386322697e-07,0.000146340076780028,6.20166963204946
ENSG00000168273,440957,SMIM4,small integral membrane protein 4,1.38955095551465,5.34663847673923,6.55313411967286,1.36721986845141e-05,0.000866842719010609,3.38559346324654
ENSG00000129353,57153,SLC44A2,solute carrier family 44 member 2,1.36563087170101,8.54029114513085,11.267205626886,2.38342565700572e-08,2.95636451686286e-05,9.5820869330244
ENSG00000167703,124935,SLC43A2,solute carrier family 43 member 2,1.35121859116371,4.82603497198171,7.2132603951343,4.80968945285629e-06,0.000461644300162546,4.4713989998978
ENSG00000105281,6510,SLC1A5,solute carrier family 1 member 5,1.34192799287237,7.35300798592744,8.67903795759442,5.76246646999896e-07,0.00011912791260094,6.38839787538884
ENSG00000135069,29968,PSAT1,phosphoserine aminotransferase 1,1.33500286036332,7.71790880375665,8.3725820704316,8.79131753171216e-07,0.000162942523217079,5.91745829181899
ENSG00000197728,6231,RPS26,ribosomal protein S26,1.31697025549296,7.20367424000039,6.53171804661452,1.41574729391294e-05,0.000869153075974748,3.1133551755973
ENSG00000154277,7345,UCHL1,ubiquitin C-terminal hydrolase L1,1.25889576649347,8.43480010881774,8.97746554296592,3.85786244700325e-07,9.72000499342617e-05,6.73532572013163
ENSG00000179630,144811,LACC1,laccase domain containing 1,1.25179992226092,4.93588328408803,6.6197481156374,1.2271477020402e-05,0.000810973635057305,3.51174041433707
ENSG00000118523,1490,CCN2,cellular communication network factor 2,1.24947393935057,7.01717298991488,7.4224484768177,3.49582660717185e-06,0.00039525444648808,4.58368820816068
ENSG00000137814,55142,HAUS2,HAUS augmin like complex subunit 2,1.23583687915471,4.75542542484417,7.59518829861978,2.69750501879663e-06,0.000334742925377831,5.03499248199416
ENSG00000112306,6206,RPS12,ribosomal protein S12,1.20728194408423,5.91372010201906,6.67331445035941,1.12548617418315e-05,0.000772275087604394,3.51488381744708
ENSG00000131378,23180,RFTN1,"raftlin, lipid raft linker 1",1.19693746468484,6.0904185181676,9.59328880626269,1.73678939153259e-07,5.71545488540062e-05,7.69854096640228
ENSG00000134809,26519,TIMM10,translocase of inner mitochondrial membrane 10,1.14544799066403,5.88502794246619,7.95641504520968,1.58768098774016e-06,0.00024737636322289,5.47766195556518
ENSG00000006327,51330,TNFRSF12A,TNF receptor superfamily member 12A,1.14499996358527,8.39412390878313,7.32193537906687,4.07214902277418e-06,0.000426385733715803,4.304943006704
ENSG00000163191,6282,S100A11,S100 calcium binding protein A11,1.12207030653663,7.35442486674473,6.44777150246062,1.62413967704846e-05,0.000932001860939731,2.97190806201513
ENSG00000026025,7431,VIM,vimentin,1.12148794523938,7.50863106209498,8.5453651608435,6.91919571740465e-07,0.000134424133666446,6.18632229263716
ENSG00000135046,301,ANXA1,annexin A1,1.10762400429905,6.88490625654163,6.52550491336503,1.43016230750279e-05,0.000871260478037152,3.13024743007228
ENSG00000133119,5983,RFC3,replication factor C subunit 3,1.06479122304274,4.80718616442725,6.54158184810841,1.39317536322959e-05,0.000866842719010609,3.40997058563148
ENSG00000152422,7518,XRCC4,X-ray repair cross complementing 4,1.06366173609563,7.03897210140705,6.44096540950311,1.64239264323362e-05,0.000939134091210712,2.95876134984042
ENSG00000136490,80774,LIMD2,LIM domain containing 2,1.0595857270716,6.32895666639528,6.74310556781838,1.00614745513328e-05,0.000730770647972293,3.56710842967069
ENSG00000196923,9260,PDLIM7,PDZ and LIM domain 7,1.05438782508389,7.29764338729181,7.24912053329962,4.55185369657358e-06,0.000451587208416686,4.279008698721
ENSG00000237765,285550,FAM200B,family with sequence similarity 200 member B,1.03882659284836,5.47989542307512,7.54949514312788,2.88791297571194e-06,0.000350132306265827,4.91235592038282
ENSG00000125458,30833,NT5C,"5', 3'-nucleotidase, cytosolic",1.02966637642303,5.38877958335327,6.42610504884024,1.68299930804573e-05,0.000955576191628075,3.16455067647051
ENSG00000205542,7114,TMSB4X,thymosin beta 4 X-linked,1.00517501420025,8.61818671319958,8.96346509547605,3.93031846017317e-07,9.72675957786605e-05,6.70100229793881
ENSG00000113369,57561,ARRDC3,arrestin domain containing 3,0.99893089849471,7.27878649816369,7.0868670787968,5.84842869699634e-06,0.000503335457200749,4.0074731240001
ENSG00000170860,27258,LSM3,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated",0.966147680721926,6.90845318098397,6.38782230252235,1.79254451328289e-05,0.000987407246080855,2.89664511324698
ENSG00000166963,4130,MAP1A,microtubule associated protein 1A,0.96453985611141,7.38508539943493,6.72422760426848,1.03705200601587e-05,0.000736672405154442,3.40608208566149
ENSG00000125611,84269,CHCHD5,coiled-coil-helix-coiled-coil-helix domain containing 5,0.956404390365628,5.52560083918824,6.65145320115576,1.165862031112e-05,0.000783313552153377,3.50744763995856
ENSG00000126653,84081,NSRP1,nuclear speckle splicing regulatory protein 1,0.955521354540237,5.36796301343697,6.77241122239571,9.60078156629884e-06,0.000720058617472413,3.73007123362743
ENSG00000159840,7791,ZYX,zyxin,0.942698221280279,6.78916660427348,6.70169171085396,1.07525819163716e-05,0.000757141412233592,3.43420970638479
ENSG00000173221,2745,GLRX,glutaredoxin,0.936082673569802,6.09370103939962,7.52765504707804,2.98389143593629e-06,0.000356409254847946,4.81846667678644
ENSG00000136810,7295,TXN,thioredoxin,0.933410128162039,7.75341627508525,7.1432060601213,5.35887065662322e-06,0.000485459490663199,4.07207953685682
ENSG00000182541,3985,LIMK2,LIM domain kinase 2,0.929691315364391,6.59583518546489,7.16334746347626,5.19450602449749e-06,0.000475917100255807,4.19294602400807
ENSG00000244486,91179,SCARF2,scavenger receptor class F member 2,0.92401522271853,5.97398998772396,6.47215288254211,1.56048288461657e-05,0.00090690274015503,3.17310915367401
